,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,revives,team_kills,time_survived,win_points,win_points_delta,rank_points
1620,Hunters_SexyPIG,4,1,2,4,632.1844,0,0,0,0,1,1,0,0,228.931915,0,0,0,1483.658,0,0,1500.0
1621,Hunters_BNeck,4,1,2,3,392.4845,0,1,0,0,1,1,0,0,187.155151,0,0,0,1398.471,0,0,1500.0
1622,Hunters_Giken,4,1,0,5,139.622971,0,1,0,0,1,1,0,0,327.3253,0,1,0,1440.052,0,0,1500.0
1623,Hunters_taemin,4,1,0,6,608.7708,1,4,0,0,1,1,0,0,304.365417,0,0,0,1458.35,0,0,1500.0
1624,EntusA_GunHee777,5,0,0,7,24.1980152,0,0,0,0,0,0,0,0,0.0,0,0,0,1316.738,0,0,1500.0
1625,EntusA_Temeria,5,1,1,2,86.39704,0,2,0,0,1,1,0,0,423.719055,0,0,0,1449.93,0,0,1500.0
1626,EntusA_CRISTIS,5,2,2,3,328.6209,0,1,0,0,1,2,0,0,464.335052,0,1,0,1447.065,0,0,1500.0
1627,EntusA_MIRA,5,0,1,2,161.461029,1,0,0,0,1,2,0,0,382.246063,0,0,0,1445.286,0,0,1500.0
1628,MVP_Alphaca,11,1,0,3,108.799995,0,3,0,0,1,1,0,0,217.33847,0,0,0,1071.902,0,0,1500.0
1629,MVP_paenG,11,1,3,2,238.970825,1,1,0,0,1,1,0,0,2.91693115,0,0,0,1033.719,0,0,1500.0
1630,MVP_siege,11,1,0,2,31.5094223,0,3,0,0,1,1,0,0,0.0,0,0,0,1016.93,0,0,1500.0
1631,MVP_0tan,11,1,1,7,230.4726,1,0,0,0,2,3,0,0,149.347549,0,0,0,1199.746,0,0,1500.0
1632,Astrick_Eno,8,0,0,0,169.3156,0,0,0,0,0,0,0,0,0.0,0,0,0,766.357,0,0,1500.0
1633,Astrick_Hana,8,0,0,0,96.1206,0,0,0,0,0,0,0,0,0.0,0,0,0,812.86,0,0,1500.0
1634,Astrick_Feint,8,0,0,2,365.764221,0,3,0,0,1,1,0,0,224.335159,0,0,0,1295.085,0,0,1500.0
1635,Astrick_GodMin,8,0,0,1,87.95285,1,2,0,0,1,1,0,0,62.4723129,0,0,0,981.134,0,0,1500.0
1636,C9_Dingception,10,0,0,2,0.0,0,16,0,0,0,0,0,0,0.0,0,1,0,1233.971,0,0,1500.0
1637,C9_C4tch,10,0,0,6,182.510345,0,3,0,0,0,0,0,0,0.0,0,0,0,1219.24,0,0,1500.0
1638,C9_Yureka,10,0,0,3,129.01889,0,5,0,0,0,0,0,0,0.0,0,0,0,1232.76,0,0,1500.0
1639,C9_Wiz,10,1,0,7,261.2318,0,1,0,0,1,2,0,0,278.3753,0,1,0,1105.596,0,0,1500.0
1640,SKT_PLIKHE,1,2,1,3,317.0374,1,5,0,0,1,2,0,0,254.467514,0,0,0,1591.886,0,0,1500.0
1641,SKT_Daze,1,0,3,4,204.4935,0,5,0,0,0,0,0,0,0.0,0,0,0,1591.886,0,0,1500.0
1642,SKT_JeffLocka,1,1,1,1,176.402237,0,4,0,0,0,0,0,0,0.0,0,0,0,917.201,0,0,1500.0
1643,SKT_Adder,1,1,2,2,150.624176,1,2,0,0,2,3,0,0,81.27945,0,1,0,1591.886,0,0,1500.0
1644,GEN_Chelator,2,2,3,4,362.6844,1,6,0,0,1,2,0,0,480.672333,0,0,0,1580.791,0,0,1500.0
1645,GEN_Esther,2,2,5,2,651.778,0,4,0,0,0,0,0,0,0.0,0,1,0,1591.817,0,0,1500.0
1646,GEN_WICK2D,2,1,4,4,211.155945,0,6,0,0,1,1,0,0,35.344635,0,0,0,1591.808,0,0,1500.0
1647,GEN_Loki,2,4,1,1,590.266052,0,0,0,0,2,4,0,0,287.617523,0,0,0,1591.814,0,0,1500.0
1648,DTN_ISCO,13,1,1,2,78.5793457,0,1,0,0,0,0,0,0,0.0,0,0,0,1030.565,0,0,1500.0
1649,DTN_Hikari,13,0,0,0,49.51894,0,0,0,0,0,0,0,0,0.0,0,0,0,1017.035,0,0,1500.0
1650,DTN_Klocky,13,0,0,2,0.0,0,1,0,0,0,0,0,0,0.0,0,0,0,1025.51,0,0,1500.0
1651,DTN_DDoCHI,13,0,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1020.227,0,0,1500.0
1652,DPG_KiraV,7,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,419.476,0,0,1500.0
1653,DPG_yacha,7,0,0,4,0.0,0,4,0,0,0,0,0,0,0.0,0,0,0,1061.606,0,0,1500.0
1654,DPG_NaviEffect,7,1,0,4,0.0,0,6,0,0,0,0,0,0,0.0,0,0,0,1178.798,0,0,1500.0
1655,DPG_Conan,7,0,0,6,60.02069,0,2,0,0,0,0,0,0,0.0,0,1,0,1306.069,0,0,1500.0
1656,Lunatic_DDDoit,6,0,1,1,0.0,0,4,0,0,0,0,0,0,0.0,0,0,0,1333.622,0,0,1500.0
1657,Lunatic_School,6,3,1,6,456.482544,0,10,0,0,2,3,0,0,43.61911,0,1,0,1333.972,0,0,1500.0
1658,Lunatic_Seoul,6,4,1,5,409.475281,0,3,0,0,1,3,0,0,99.85993,0,1,0,1333.967,0,0,1500.0
1659,Lunatic_NEWCODE,6,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,585.715,0,0,1500.0
1660,ACTOZ_R_Hwan2da,9,0,1,2,50.3099976,0,1,0,0,0,0,0,0,0.0,0,0,0,918.133,0,0,1500.0
1661,ACTOZ_R_Daengche,9,3,1,7,248.557236,0,8,0,0,1,1,0,0,5.587049,0,0,0,1247.613,0,0,1500.0
1662,ACTOZ_R_Starlord,9,1,2,4,300.6635,0,3,0,0,0,0,0,0,0.0,0,0,0,1231.868,0,0,1500.0
1663,ACTOZ_R_Hulk,9,0,0,2,0.0,0,1,0,0,0,0,0,0,0.0,0,0,0,926.532,0,0,1500.0
1664,DTN_ISCO,10,1,0,1,145.544144,0,5,0,0,0,0,0,0,0.0,0,0,0,967.667,0,0,1500.0
1665,DTN_Hikari,10,3,1,3,281.263824,0,3,0,0,1,2,0,0,283.195435,0,0,0,1204.884,0,0,1500.0
1666,DTN_Klocky,10,0,2,3,379.2817,1,5,0,0,1,1,0,0,37.4978828,0,0,0,1127.35,0,0,1500.0
1667,DTN_DDoCHI,10,0,0,1,86.90622,0,0,0,0,0,0,0,0,0.0,0,0,0,1012.718,0,0,1500.0
1668,DPGA_Inonix,8,3,1,4,224.533325,1,0,0,0,1,2,0,0,41.85486,0,0,0,1099.395,0,0,1500.0
1669,DPGA_Gak,8,0,1,4,121.659065,0,1,0,0,0,0,0,0,0.0,0,0,0,1250.963,0,0,1500.0
1670,DPGA_Juwon,8,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,693.63,0,0,1500.0
1671,DPGA_Under,8,0,1,0,50.3099976,0,0,0,0,0,0,0,0,0.0,0,0,0,673.092,0,0,1500.0
1672,EntusF_Yakk,11,0,1,4,134.067215,0,1,0,0,0,0,0,0,0.0,0,0,0,1156.008,0,0,1500.0
1673,EntusF_Seongjang,11,1,0,2,49.6900063,1,0,0,0,1,1,0,0,3.381135,0,1,0,1184.414,0,0,1500.0
1674,EntusF_indigo,11,2,0,0,210.503067,0,1,0,0,1,1,0,0,2.31573224,0,0,0,1186.364,0,0,1500.0
1675,EntusF_kAyle,11,0,0,1,0.0,0,1,0,0,0,0,0,0,0.0,0,0,0,1148.539,0,0,1500.0
1676,ACTOZ_R_Hwan2da,4,1,0,7,445.6847,0,8,0,0,1,1,0,0,13.8253708,0,0,0,1418.961,0,0,1500.0
1677,ACTOZ_R_Daengche,4,0,0,4,150.219635,0,4,0,0,1,1,0,0,5.89106035,0,1,0,1373.352,0,0,1500.0
1678,ACTOZ_R_Hulk,4,2,1,8,160.027573,0,6,0,0,1,2,0,0,234.069244,0,0,0,1548.415,0,0,1500.0
1679,ACTOZ_R_Starlord,4,0,0,4,160.601471,0,0,0,0,0,0,0,0,0.0,0,0,0,1294.807,0,0,1500.0
1680,EntusA_MIRA,9,3,0,3,250.0,0,4,0,0,3,3,0,0,27.1652832,0,0,0,1244.633,0,0,1500.0
1681,EntusA_GunHee777,9,0,0,0,157.43959,0,0,0,0,0,0,0,0,0.0,0,0,0,964.92,0,0,1500.0
1682,EntusA_Temeria,9,2,0,1,117.610008,0,0,0,0,0,0,0,0,0.0,0,0,0,976.772,0,0,1500.0
1683,EntusA_CRISTIS,9,0,0,0,74.65069,0,0,0,0,0,0,0,0,0.0,0,0,0,1020.363,0,0,1500.0
1684,C9_C4tch,3,1,1,4,387.0962,0,0,0,0,1,2,0,0,251.643219,0,0,0,1609.75,0,0,1500.0
1685,C9_Yureka,3,1,1,3,455.707733,0,2,0,0,1,1,0,0,111.864334,0,0,0,1568.116,0,0,1500.0
