,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,revives,team_kills,time_survived,win_points,win_points_delta,rank_points
3166,TwitchTV_Taryn,2,2,0,4,222.390015,0,1,0,0,1,1,0,0,68.78629,0,0,0,1414.11,0,0,0.0
3167,MajPaj,23,0,0,3,69.09,0,1,0,0,0,0,0,0,0.0,0,0,0,285.022,0,0,0.0
3168,KaterinaSuki,23,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,285.017,0,0,0.0
3169,DABBYJUNG-,3,2,1,5,710.3499,3,9,0,0,2,8,0,0,93.5009842,0,0,0,1368.608,0,0,0.0
3170,masqqq,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,154.854,0,0,0.0
3171,MAMETAS0,4,0,1,1,150.31,1,0,0,0,1,2,0,0,30.4350643,0,0,0,1280.617,0,0,0.0
3172,MSB_Sunny,4,0,1,3,122.596329,0,1,0,0,1,2,0,0,28.3384018,0,1,0,1280.62,0,0,0.0
3173,Sminty,10,2,2,1,295.593445,0,2,0,0,0,0,0,0,0.0,0,0,0,971.989,0,0,0.0
3174,RTW_ShiY1,10,1,0,1,167.540009,1,2,0,0,1,2,0,0,59.3719673,0,1,0,1115.606,0,0,0.0
3175,Mathia,22,0,0,0,0.0,0,1,0,0,0,0,0,0,0.0,0,0,0,355.162,0,0,0.0
3176,Elizabethpnz,22,1,0,0,123.4,0,0,0,0,1,1,0,0,6.536061,0,0,0,176.281,0,0,0.0
3177,KA_Sak1,6,0,0,3,0.0,0,3,0,0,0,0,0,0,0.0,0,0,0,1136.379,0,0,0.0
3178,Vendettka,6,1,0,3,156.76001,0,9,0,0,0,0,0,0,0.0,0,0,0,1255.737,0,0,0.0
3179,LadyAse7o,8,1,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,1,1170.016,0,0,0.0
3180,Nnewys,8,0,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1056.06,0,0,0.0
3181,LizzieJM_,14,0,0,3,163.95,1,2,0,0,1,1,0,0,21.5035133,0,0,0,970.051,0,0,0.0
3182,Paleolite,14,1,0,1,100.0,1,0,0,0,1,1,0,0,38.9989662,0,0,0,644.446,0,0,0.0
3183,MajestyCharlie,7,1,0,1,167.799866,1,0,0,0,2,2,0,0,84.66099,0,0,0,1187.334,0,0,0.0
3184,Twitch_doeupzi,7,0,1,5,78.31799,0,0,0,0,0,0,0,0,0.0,0,0,0,1165.544,0,0,0.0
3185,NTCgirls_YASA,17,1,0,1,273.0125,3,2,0,0,2,4,0,0,139.050766,0,0,0,901.797,0,0,0.0
3186,KA_Sisi,17,0,1,1,169.0488,0,4,0,0,0,0,0,0,0.0,0,0,0,666.757,0,0,0.0
3187,rchl,20,1,0,1,350.5437,0,3,0,0,1,1,0,0,79.386734,0,0,0,673.801,0,0,0.0
3188,Nonom1ya,20,0,0,0,42.0048141,0,0,0,0,0,0,0,0,0.0,0,0,0,597.871,0,0,0.0
3189,Mei2,9,3,1,2,455.649963,1,1,0,0,2,4,0,0,26.0854931,0,0,0,1152.441,0,0,0.0
3190,TyLoo_leilei,9,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,230.828,0,0,0.0
3191,TwitchTv_Poulie,1,0,1,3,291.800476,0,1,0,0,1,2,0,0,89.66091,0,0,0,1422.149,0,0,0.0
3192,konii,1,2,0,4,334.8224,1,1,0,0,2,4,0,0,105.580818,0,2,0,1422.149,0,0,0.0
3193,Yelenna_,15,1,0,0,100.0,0,0,0,0,0,0,0,0,0.0,0,0,0,963.542,0,0,0.0
3194,Eto00,15,0,0,0,0.0,0,1,0,0,0,0,0,0,0.0,0,0,0,963.545,0,0,0.0
3195,Twitch-MissGucci,24,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,95.921,0,0,0.0
3196,yyAmroll,24,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,95.916,0,0,0.0
3197,hellauchiha,13,1,0,2,166.99,0,3,0,0,1,1,0,0,5.615426,0,0,0,958.506,0,0,0.0
3198,Roxyproxxy,13,1,0,1,254.026031,0,4,0,0,1,1,0,0,19.34637,0,1,0,998.383,0,0,0.0
3199,Kaopadnaem,18,0,0,2,0.0,0,2,0,0,0,0,0,0,0.0,0,0,0,884.926,0,0,0.0
3200,Chorina,18,1,0,1,100.0,0,2,0,0,0,0,0,0,0.0,0,0,0,879.277,0,0,0.0
3201,Astrick_hEleN,16,0,0,3,0.0,0,7,0,0,0,0,0,0,0.0,0,0,0,923.972,0,0,0.0
3202,CSG_ccowl,16,0,0,3,0.0,0,2,0,0,0,0,0,0,0.0,0,0,0,923.977,0,0,0.0
3203,Zyven,21,0,0,0,66.528,0,0,0,0,0,0,0,0,0.0,0,0,0,355.59,0,0,0.0
3204,sansen,21,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,355.588,0,0,0.0
3205,anniken,19,1,0,1,99.99999,0,1,0,0,0,0,0,0,0.0,0,0,0,864.926,0,0,0.0
3206,Tanya_Kakanya,19,0,0,0,0.0,0,1,0,0,0,0,0,0,0.0,0,1,0,855.454,0,0,0.0
3207,LittleBigWhale_,5,2,0,5,134.889511,1,10,0,0,1,2,0,0,95.44285,0,0,0,1267.668,0,0,0.0
3208,MDY_Ting,5,0,1,4,65.1105,0,8,0,0,0,0,0,0,0.0,0,0,0,1267.674,0,0,0.0
3209,2mae-twitch,12,1,0,3,186.868652,0,0,0,0,2,2,0,0,53.7185745,0,0,0,1018.173,0,0,0.0
3210,xSunny8,12,0,0,1,0.0,0,1,0,0,0,0,0,0,0.0,0,0,0,936.748,0,0,0.0
3211,MSB_Sunny,11,0,0,2,99.99999,0,0,0,0,1,1,0,0,18.62257,0,0,0,1172.977,0,0,0.0
3212,Paleolite,31,0,0,0,100.0,0,0,0,0,1,1,0,0,4.80433,0,0,0,721.332,0,0,0.0
3213,MAMETAS0,38,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,413.271,0,0,0.0
3214,Eto00,32,0,0,0,27.3,0,0,0,0,0,0,0,0,0.0,0,0,0,657.573,0,0,0.0
3215,rchl,13,0,0,1,78.0,0,0,0,0,1,1,0,0,30.6030617,0,0,0,1159.801,0,0,0.0
3216,KaterinaSuki,42,0,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,309.2,0,0,0.0
3217,LizzieJM__,8,0,0,6,300.0,1,6,0,0,1,3,0,0,54.2205925,0,0,0,1203.288,0,0,0.0
3218,MajPaj,30,0,0,1,80.25,0,1,0,0,0,0,0,0,0.0,0,0,0,890.062,0,0,0.0
3219,masqqq,25,0,0,0,26.436491,0,0,0,0,0,0,0,0,0.0,0,0,0,1028.233,0,0,0.0
3220,KA_Sak1,33,0,0,0,187.8,0,0,0,0,1,2,0,0,48.15791,0,0,0,626.624,0,0,0.0
3221,Rockette,22,0,0,3,31.7204971,0,1,0,0,0,0,0,0,0.0,0,0,0,1060.425,0,0,0.0
3222,Nonom1ya,18,0,1,0,104.28,0,3,0,0,0,0,0,0,0.0,0,0,0,1082.377,0,0,0.0
3223,konii,16,0,0,5,245.6134,1,1,0,0,2,3,0,0,51.0101776,0,0,0,1108.747,0,0,0.0
3224,Zyven,20,0,0,2,222.392853,1,0,0,0,2,2,0,0,24.2031326,0,0,0,1062.562,0,0,0.0
3225,Chorina,10,0,0,1,363.525,1,0,0,0,1,3,0,0,108.450081,0,0,0,1186.328,0,0,0.0
3226,2mae-twitch,28,0,0,5,100.000008,0,0,0,0,1,1,0,0,41.71849,0,0,0,933.066,0,0,0.0
3227,NTCgirls_YASA,26,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,1003.873,0,0,0.0
3228,Kaopadnaem,34,0,0,2,96.15494,0,3,0,0,0,0,0,0,0.0,0,0,0,563.268,0,0,0.0
