,match_id,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,ride_distance,swim_distance,vehicle_destroys,walk_distance,weapons_acquired,round_point,win
31,7198f970-216b-4688-b5e3-b26688d22030,DOGS_Fexx,10,0,0,2,101.70354,0,1,0,0,0.0,0,4210.834,0.0,0,1423.4233,6,0,0
32,7198f970-216b-4688-b5e3-b26688d22030,SWS_Tjukken,12,0,0,2,29.669003,0,1,0,0,0.0,0,7251.8296,0.0,0,635.7272,3,0,0
33,7198f970-216b-4688-b5e3-b26688d22030,SWS_Grandiiis,12,0,0,0,0.0,0,0,0,0,0.0,0,7191.7017,0.0,0,348.41513,4,0,0
34,7198f970-216b-4688-b5e3-b26688d22030,SWS_Sniken3k,12,2,0,3,159.9943,1,5,1,1,28.434006,1,8050.9614,0.0,0,1050.1356,5,1,0
35,7198f970-216b-4688-b5e3-b26688d22030,SWS_Mekkis,12,0,0,2,72.57001,0,0,0,0,0.0,0,5245.4263,0.0,0,472.45816,3,0,0
36,7198f970-216b-4688-b5e3-b26688d22030,MZP_rudii,7,0,0,1,0.0,0,0,0,0,0.0,0,4220.637,0.0,0,1265.6112,4,1,0
37,7198f970-216b-4688-b5e3-b26688d22030,MZP_Unability,7,1,1,2,284.26315,1,2,1,2,89.30191,0,3622.9675,0.0,0,898.63806,8,3,0
38,7198f970-216b-4688-b5e3-b26688d22030,MZP_VietS1MP,7,0,0,1,108.698074,0,0,0,0,0.0,0,2211.4583,0.0,0,1026.5559,5,1,0
39,7198f970-216b-4688-b5e3-b26688d22030,MZP_DEVIANT,7,3,0,3,439.4318,0,2,2,3,317.15546,0,3593.9182,0.0,0,2229.201,3,4,0
40,7198f970-216b-4688-b5e3-b26688d22030,UM_StiCanPee,13,3,1,2,385.77274,0,1,1,2,232.35037,0,2730.946,0.0,0,1315.6357,5,2,0
41,7198f970-216b-4688-b5e3-b26688d22030,UM_Symphonize,13,0,0,0,54.120003,0,0,0,0,0.0,0,2732.4646,0.0,0,2209.6436,5,0,0
42,7198f970-216b-4688-b5e3-b26688d22030,UM_bobthebest,13,1,0,1,122.278625,0,4,1,1,96.27203,0,3342.695,0.0,0,1534.7258,3,1,0
43,7198f970-216b-4688-b5e3-b26688d22030,UM_Skaaret,13,0,0,1,59.77932,0,0,0,0,0.0,0,3228.2021,0.0,0,1520.5997,4,0,0
44,7198f970-216b-4688-b5e3-b26688d22030,SGS_Chyg,8,0,1,0,119.30833,0,0,0,0,0.0,0,4555.141,0.0,0,297.0214,4,1,0
45,7198f970-216b-4688-b5e3-b26688d22030,SGS_mykLe,8,4,0,3,352.79132,1,1,1,2,204.19543,0,4805.948,0.0,0,1042.2472,10,3,0
46,7198f970-216b-4688-b5e3-b26688d22030,SGS_glAmund,8,0,0,0,18.449999,0,2,0,0,0.0,2,4053.4946,0.0,0,663.6181,4,1,0
47,7198f970-216b-4688-b5e3-b26688d22030,SGS_CLAYZILLA,8,0,0,2,18.449999,0,2,0,0,0.0,0,3472.5847,0.0,0,815.3706,8,1,0
48,7198f970-216b-4688-b5e3-b26688d22030,AIR_KnaZ,1,0,0,5,330.15192,2,5,2,5,28.357206,1,2147.4617,0.0,0,3534.9175,5,15,1
49,7198f970-216b-4688-b5e3-b26688d22030,AIR_Adle,1,2,2,3,268.65042,0,3,1,1,25.071943,1,1682.9174,0.0,0,3821.193,5,11,1
50,7198f970-216b-4688-b5e3-b26688d22030,AIR_Ticko,1,1,2,4,505.8527,0,9,1,1,109.42379,2,2415.0532,0.0,0,2276.016,5,11,1
51,7198f970-216b-4688-b5e3-b26688d22030,AIR_Ironik,1,1,2,3,338.55768,0,2,1,1,56.405968,0,1436.6421,0.0,0,4375.1914,5,11,1
52,7198f970-216b-4688-b5e3-b26688d22030,KTK_Yippikayey,16,0,0,5,0.0,0,15,0,0,0.0,0,5135.965,0.0,0,1035.1542,8,0,0
53,7198f970-216b-4688-b5e3-b26688d22030,KTK_KINGDAINN,16,0,0,1,52.3533,0,0,0,0,0.0,0,3575.5913,0.0,0,679.7339,7,0,0
54,7198f970-216b-4688-b5e3-b26688d22030,KTK_Doffy,16,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,77.53504,5,0,0
55,7198f970-216b-4688-b5e3-b26688d22030,KTK_Isaksa,16,0,0,1,0.0,0,0,0,0,0.0,0,4465.836,0.0,0,562.79865,4,0,0
56,7198f970-216b-4688-b5e3-b26688d22030,WACE_Qu4ck,4,0,0,6,27.960001,0,2,1,1,3.4234552,1,5540.3813,0.0,0,1655.5454,5,5,0
57,7198f970-216b-4688-b5e3-b26688d22030,WACE_gHosTyGGG,4,7,0,2,1055.1119,0,1,2,7,131.39806,0,5376.683,0.0,0,1922.9944,6,11,0
58,7198f970-216b-4688-b5e3-b26688d22030,WACE_4ff1,4,0,2,7,95.04001,0,7,0,0,0.0,0,4254.635,0.0,0,1574.1836,3,4,0
