,match_id,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,ride_distance,swim_distance,vehicle_destroys,walk_distance,weapons_acquired,round_point,win
37,49634508-f42a-4c39-a696-360347083736,MIA_haunt1nGG,2,2,2,5,354.5414,0,8,1,2,372.59457,2,8061.9976,69.2211,0,1380.8442,4,8,0
38,49634508-f42a-4c39-a696-360347083736,MIA_SLasherz2k,2,3,0,12,253.09195,1,7,1,2,133.2747,0,7763.0586,78.368065,0,1186.6929,5,8,0
39,49634508-f42a-4c39-a696-360347083736,MIA_Touven,2,0,1,4,75.40344,0,1,0,0,0.0,1,5679.774,0.0,0,1705.3823,5,6,0
40,49634508-f42a-4c39-a696-360347083736,MIT_Hueth,1,3,3,11,251.0316,1,2,1,1,46.858997,0,3870.5908,0.0,0,1588.4181,9,11,1
41,49634508-f42a-4c39-a696-360347083736,MIT_Rid1,1,3,2,6,458.49826,0,3,2,3,41.820904,0,2220.783,0.0,0,1624.5435,5,13,1
42,49634508-f42a-4c39-a696-360347083736,MIT_Iroh,1,2,3,5,559.2202,0,1,2,2,36.970795,0,2577.6006,0.0,0,2143.474,7,12,1
43,49634508-f42a-4c39-a696-360347083736,MIT_Bluffist,1,2,0,3,255.0484,2,1,1,2,253.19547,0,2546.0364,0.0,0,1512.27,5,12,1
44,49634508-f42a-4c39-a696-360347083736,MIT_forge2k,1,0,1,4,126.593544,0,3,1,1,318.09204,0,2810.3071,0.0,0,1714.3378,3,11,1
45,49634508-f42a-4c39-a696-360347083736,MIT_Bambaki,1,0,0,3,191.36307,0,4,0,0,0.0,0,1985.2094,0.0,0,1614.4371,4,10,1
46,49634508-f42a-4c39-a696-360347083736,MIT_Shilla,1,2,1,4,338.52225,0,1,1,2,168.29721,0,2413.165,0.0,0,1942.9296,10,12,1
47,49634508-f42a-4c39-a696-360347083736,MIT_Mithrain,1,2,4,3,359.4141,2,2,1,2,134.96742,4,2259.4756,0.0,0,1838.7104,8,12,1
48,49634508-f42a-4c39-a696-360347083736,ELR_Syna,7,1,1,4,0.0,0,4,0,0,0.0,0,7592.29,0.0,0,867.08575,6,1,0
49,49634508-f42a-4c39-a696-360347083736,ELR_Baboli,7,1,0,1,41.31646,0,0,1,1,178.87872,1,2954.574,0.0,0,1526.3015,7,2,0
50,49634508-f42a-4c39-a696-360347083736,ELR_gicaas,7,0,0,7,24.314472,0,3,0,0,0.0,0,5453.591,0.0,0,1204.6077,9,1,0
51,49634508-f42a-4c39-a696-360347083736,ELR_Cordiseps,7,0,0,2,0.0,0,2,0,0,0.0,0,4909.7437,0.0,0,901.3047,4,1,0
52,49634508-f42a-4c39-a696-360347083736,ELR_Utkuali,7,0,1,5,45.68354,0,0,0,0,0.0,0,7785.6606,0.0,0,878.065,3,1,0
53,49634508-f42a-4c39-a696-360347083736,ELR_ELRAENN,7,1,0,1,21.960003,0,0,1,1,154.10536,0,3521.1921,0.0,0,1117.9254,3,2,0
54,49634508-f42a-4c39-a696-360347083736,ELR_RRaenee,7,0,0,0,0.0,0,0,0,0,0.0,0,5731.9307,0.0,0,931.2198,5,1,0
55,49634508-f42a-4c39-a696-360347083736,ELR_GRAB,7,0,0,1,27.524298,0,0,0,0,0.0,0,8533.642,0.0,0,803.49805,6,1,0
56,49634508-f42a-4c39-a696-360347083736,KEN_Sir_TysoNN,6,0,0,0,0.0,0,0,0,0,0.0,0,2747.8782,0.0,0,2079.1196,8,2,0
57,49634508-f42a-4c39-a696-360347083736,KEN_dineMuzisyen,6,1,0,0,24.016645,0,0,0,0,0.0,1,4505.1577,0.0,0,887.03925,4,2,0
58,49634508-f42a-4c39-a696-360347083736,KEN_SercanZurna,6,0,0,2,0.0,0,7,0,0,0.0,0,5560.9893,0.0,0,936.54663,4,2,0
59,49634508-f42a-4c39-a696-360347083736,KEN_Ebonivon,6,0,0,2,0.0,0,1,0,0,0.0,0,3038.8347,0.0,0,2578.4143,4,2,0
60,49634508-f42a-4c39-a696-360347083736,KEN_JrokezFTW,6,0,0,4,0.0,0,11,0,0,0.0,1,5234.4077,0.0,0,870.3781,4,2,0
61,49634508-f42a-4c39-a696-360347083736,KEN_ERAY,6,0,0,1,0.0,0,0,0,0,0.0,0,2718.3884,0.0,0,2411.7432,5,2,0
62,49634508-f42a-4c39-a696-360347083736,KEN_AzunyanOzge,6,0,0,1,0.0,0,0,0,0,0.0,0,4513.469,0.0,0,739.1472,5,2,0
63,49634508-f42a-4c39-a696-360347083736,KEN_BoneSaures,6,0,0,0,0.0,0,1,0,0,0.0,0,2749.1711,0.0,0,2338.3352,4,2,0
